stock_code,company_name,company_type,total_contexts,current_contexts,consolidated_contexts,total_units,currency_units,indicator,japanese_name,csv_value,found_in_xbrl,matching_elements_count
507,株式会社ドラフト,general,136,84,50,4,2,net_sales_cy,売上高,12276867000.0,True,3
507,株式会社ドラフト,general,136,84,50,4,2,operating_income_cy,営業利益,1022803000.0,True,1
507,株式会社ドラフト,general,136,84,50,4,2,total_assets_cy,総資産,6458285000.0,True,3
507,株式会社ドラフト,general,136,84,50,4,2,net_assets_cy,純資産,4070179000.0,True,3
4179,株式会社ジーネクスト,general,89,51,40,4,2,net_sales_cy,売上高,610779000.0,True,2
4179,株式会社ジーネクスト,general,89,51,40,4,2,total_assets_cy,総資産,424449000.0,True,3
4179,株式会社ジーネクスト,general,89,51,40,4,2,net_assets_cy,純資産,4036000.0,True,3
432,株式会社ＣＥホールディングス,general,174,108,63,4,2,net_sales_cy,売上高,14554161000.0,True,3
432,株式会社ＣＥホールディングス,general,174,108,63,4,2,operating_income_cy,営業利益,1148240000.0,True,2
432,株式会社ＣＥホールディングス,general,174,108,63,4,2,total_assets_cy,総資産,11251531000.0,True,3
432,株式会社ＣＥホールディングス,general,174,108,63,4,2,net_assets_cy,純資産,6599903000.0,True,3
6363,株式会社酉島製作所,general,234,139,90,4,2,net_sales_cy,売上高,86501000000.0,True,2
6363,株式会社酉島製作所,general,234,139,90,4,2,operating_income_cy,営業利益,5449000000.0,True,1
6363,株式会社酉島製作所,general,234,139,90,4,2,total_assets_cy,総資産,115621000000.0,True,3
6363,株式会社酉島製作所,general,234,139,90,4,2,net_assets_cy,純資産,56417000000.0,True,3
7483,株式会社ドウシシャ,trading,279,167,90,5,2,net_sales_cy,売上高,105824000000.0,True,3
7483,株式会社ドウシシャ,trading,279,167,90,5,2,operating_income_cy,営業利益,7926000000.0,True,2
7483,株式会社ドウシシャ,trading,279,167,90,5,2,total_assets_cy,総資産,102701000000.0,True,3
7483,株式会社ドウシシャ,trading,279,167,90,5,2,net_assets_cy,純資産,84284000000.0,True,3
2654,株式会社アスモ,trading,172,111,40,4,2,net_sales_cy,売上高,20529656000.0,True,3
2654,株式会社アスモ,trading,172,111,40,4,2,operating_income_cy,営業利益,296839000.0,True,2
2654,株式会社アスモ,trading,172,111,40,4,2,total_assets_cy,総資産,9325971000.0,True,3
2654,株式会社アスモ,trading,172,111,40,4,2,net_assets_cy,純資産,6640874000.0,True,3
335,株式会社メタプラネット,trading,174,108,58,4,2,net_sales_cy,売上高,1062283000.0,True,3
335,株式会社メタプラネット,trading,174,108,58,4,2,operating_income_cy,営業利益,350403000.0,True,2
335,株式会社メタプラネット,trading,174,108,58,4,2,total_assets_cy,総資産,30325812000.0,True,3
335,株式会社メタプラネット,trading,174,108,58,4,2,net_assets_cy,純資産,16965842000.0,True,3
8544,株式会社　京葉銀行,bank,224,131,75,5,2,total_assets_cy,総資産,6561710000000.0,True,3
8544,株式会社　京葉銀行,bank,224,131,75,5,2,net_assets_cy,純資産,310724000000.0,True,3
8367,株式会社南都銀行,bank,315,180,78,5,2,total_assets_cy,総資産,6787056000000.0,True,3
8367,株式会社南都銀行,bank,315,180,78,5,2,net_assets_cy,純資産,298631000000.0,True,3
8473,ＳＢＩホールディングス株式会社,securities,212,139,75,5,2,net_sales_cy,売上高,76488000000.0,True,2
8473,ＳＢＩホールディングス株式会社,securities,212,139,75,5,2,operating_income_cy,営業利益,44483000000.0,True,1
8473,ＳＢＩホールディングス株式会社,securities,212,139,75,5,2,total_assets_cy,総資産,1913840000000.0,True,3
8473,ＳＢＩホールディングス株式会社,securities,212,139,75,5,2,net_assets_cy,純資産,561955000000.0,True,3
