filing_company_code,filing_company_name,filing_stock_code,filing_date,document_id,held_security_name,held_stock_code,held_shares,book_value_million_yen,holding_purpose,ticker,stock_code
E02840,,,2024-03-31,000,ＤＣＭホールディングス㈱,,473900,699.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、保有しています。,,
E02840,,,2024-03-31,000,エイチ・ツー・オーリテイリング㈱,,349351,679.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,上新電機㈱,,81500,189.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。,,
E02840,,,2024-03-31,000,イオン㈱,,37761,135.0,主として卸売型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,コーナン商事㈱,,30322,133.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,㈱ＭｒＭａｘＨＤ,,100000,63.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。,,
E02840,,,2024-03-31,000,㈱セキチュー,,42014,53.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,㈱セブン＆アイ・ホールディングス,,17626,38.0,主として卸売型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。なお、本株式は2024年２月29日を基準日として１株につき３株の割合で株式分割を実施しております。,,
E02840,,,2024-03-31,000,㈱スクロール,,32841,31.0,主として卸売型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,イオン九州㈱,,8986,27.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,㈱マキヤ,,18374,20.0,主として卸売型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,㈱ジュンテンドー,,34190,19.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,㈱フジ,,8781,16.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,ウエルシアホールディングス㈱,,5751,14.0,主として卸売型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,㈱エディオン,,5727,8.0,主として卸売型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,㈱平和堂,,4000,8.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。,,
E02840,,,2024-03-31,000,㈱ヤマダホールディングス,,9800,4.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。,,
E02840,,,2024-03-31,000,㈱エンチョー,,4497,4.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,㈱コメリ,,405,1.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。,,
E02840,,,2024-03-31,000,㈱ヨンドシーホールディングス,,710,1.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,㈱サマンサタバサジャパンリミテッド,,10500,0.0,主として卸売型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。,,
E02840,,,2024-03-31,000,アークランズ㈱,,482,0.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,,,2024-03-31,000,三井住友トラスト・ホールディングス㈱,,222,0.0,事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。なお、本株式は2023年12月29日を基準日として１株につき２株の割合で株式分割を実施しております。,,
E02840,,,2024-03-31,000,㈱Ｏｌｙｍｐｉｃグループ,,1000,0.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。,,
E05233,,,2024-09-30,000,㈱北洋銀行,,47,18142.0,同社との取引関係の維持・強化のため。当社は同社株式から得られるリターンを検証するなど、資本コスト等の観点から総合的な評価を行い、保有の合理性を確認しています。定量的な保有効果については取引先との関係性を考慮して記載しませんが、上記方針に基づいた十分な定量的効果があると判断しています。,,
