filing_company_code,filing_company_name,filing_stock_code,filing_date,document_id,held_security_name,held_stock_code,held_shares,book_value_million_yen,holding_purpose,ticker,stock_code
E02840,株式会社ドウシシャ,74830,2024-03-31,000,ＤＣＭホールディングス㈱,30500,473900,699.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、保有しています。,,30500
E02840,株式会社ドウシシャ,74830,2024-03-31,000,エイチ・ツー・オーリテイリング㈱,,349351,679.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,
E02840,株式会社ドウシシャ,74830,2024-03-31,000,上新電機㈱,81730,81500,189.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。,,81730
E02840,株式会社ドウシシャ,74830,2024-03-31,000,イオン㈱,49120,37761,135.0,主として卸売型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,49120
E02840,株式会社ドウシシャ,74830,2024-03-31,000,コーナン商事㈱,75160,30322,133.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,75160
E02840,株式会社ドウシシャ,74830,2024-03-31,000,㈱ＭｒＭａｘＨＤ,,100000,63.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。,,
E02840,株式会社ドウシシャ,74830,2024-03-31,000,㈱セキチュー,99760,42014,53.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,99760
E02840,株式会社ドウシシャ,74830,2024-03-31,000,㈱セブン＆アイ・ホールディングス,33820,17626,38.0,主として卸売型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。なお、本株式は2024年２月29日を基準日として１株につき３株の割合で株式分割を実施しております。,,33820
E02840,株式会社ドウシシャ,74830,2024-03-31,000,㈱スクロール,80050,32841,31.0,主として卸売型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,80050
E02840,株式会社ドウシシャ,74830,2024-03-31,000,イオン九州㈱,26530,8986,27.0,主として開発型ビジネスモデルにおける事業上の取引関係を勘案し、同社との良好な関係の維持、強化を図るため、継続して保有しています。取引先持株会を通じた株式の取得により株式数が増加しております。,,26530
