stock_code,company_name,market_cap,bs_securities_assets,pl_dividend_income,current_net_sales,operating_income,asset_ratio,dividend_ratio,operating_margin,sales_growth_rate
5070,株式会社ドラフト,5363282400.0,0.0,0.0,12276867000.0,1022803000.0,0.0,0.0,8.33,14.71
7483,株式会社ドウシシャ,91045500000.0,2683000000.0,449000000.0,105824000000.0,7926000000.0,0.03,0.17,7.49,0.11
4179,株式会社ジーネクスト,1491974064.0,0.0,0.0,610779000.0,0.0,0.0,0.0,0.0,-5.62
2654,株式会社アスモ,5649085000.0,0.0,0.0,20529656000.0,296839000.0,0.0,0.0,1.45,-0.02
4320,株式会社ＣＥホールディングス,10785288000.0,438348000.0,2558000.0,14554161000.0,1148240000.0,0.04,0.01,7.89,6.76
8544,株式会社　京葉銀行,145883970000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6363,株式会社酉島製作所,60008372814.0,10463000000.0,307000000.0,86501000000.0,5449000000.0,0.17,0.03,6.3,6.66
4419,株式会社Ｆｉｎａｔｅｘｔホールディングス,57815338924.0,46153000.0,0.0,7702356000.0,950126000.0,0.0,0.0,12.34,43.29
3020,アプライド株式会社,9393620000.0,33000000.0,0.0,42819000000.0,2124000000.0,0.0,0.0,4.96,10.91
6208,株式会社石川製作所,9251865000.0,1312554000.0,30952000.0,13598145000.0,253652000.0,0.14,0.02,1.87,7.98
7859,株式会社アルメディオ,4639808468.0,0.0,1057423000.0,11557357000.0,3364276000.0,0.0,0.0,29.11,133.92
4538,扶桑薬品工業株式会社,20083734125.0,4375000000.0,107000000.0,60563000000.0,4131000000.0,0.22,0.02,6.82,9.31
3350,株式会社メタプラネット,48925982566.0,73654000.0,0.0,1062283000.0,350403000.0,0.0,0.0,32.99,306.02
4679,株式会社　田　谷,1306872000.0,0.0,0.0,5444575000.0,3885000.0,0.0,0.0,0.07,-6.77
4074,株式会社ラキール,7664827500.0,712643000.0,0.0,7968676000.0,560124000.0,0.09,0.0,7.03,4.12
3435,サンコーテクノ株式会社,11788809984.0,1175073000.0,18067000.0,21142218000.0,2066881000.0,0.1,0.02,9.78,2.61
7817,パラマウントベッドホールディングス株式会社,146070282912.0,21682000000.0,437000000.0,108583000000.0,12977000000.0,0.15,0.02,11.95,2.42
9336,大栄環境株式会社,299079342600.0,7763000000.0,78000000.0,80178000000.0,21548000000.0,0.03,0.01,26.88,9.78
3854,株式会社アイル,66713294592.0,146256000.0,18020000.0,17508405000.0,4263812000.0,0.0,0.12,24.35,9.95
2331,綜合警備保障株式会社,535965320605.0,62312000000.0,859000000.0,551881000000.0,40201000000.0,0.12,0.01,7.28,5.85
2937,株式会社サンクゼール,14970947200.0,55394000.0,52791000.0,19467260000.0,835995000.0,0.0,0.95,4.29,1.59
9351,東洋埠頭株式会社,10874700000.0,8741000000.0,256000000.0,0.0,1155000000.0,0.8,0.03,0.0,0.0
4182,三菱瓦斯化学株式会社,549180192000.0,236354000000.0,3205000000.0,813417000000.0,47337000000.0,0.43,0.01,5.82,4.12
8367,株式会社南都銀行,148942750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4389,プロパティデータバンク株式会社,5695200000.0,29751000.0,1261000.0,3320014000.0,936584000.0,0.01,0.04,28.21,31.93
3691,株式会社デジタルプラス,3927117600.0,24813000.0,0.0,227353000.0,0.0,0.01,0.0,0.0,-13.83
4240,クラスターテクノロジー株式会社,1611062400.0,0.0,0.0,1022740000.0,108729000.0,0.0,0.0,10.63,11.29
8473,ＳＢＩホールディングス株式会社,1728319145075.0,6191000000.0,267000000.0,76488000000.0,44483000000.0,0.0,0.04,58.16,6.32
1934,株式会社ユアテック,161630176000.0,11102000000.0,549000000.0,257204000000.0,16185000000.0,0.07,0.05,6.29,5.77
9082,大和自動車交通株式会社,4504500000.0,1259000000.0,28000000.0,18377000000.0,430000000.0,0.28,0.02,2.34,3.27
3341,日本調剤株式会社,100906000000.0,13000000.0,372000000.0,360512000000.0,6239000000.0,0.0,28.62,1.73,5.94
6507,シンフォニアテクノロジー株式会社,271974683860.0,14086000000.0,710000000.0,119150000000.0,15734000000.0,0.05,0.05,13.21,16.07
6555,株式会社ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,1874487900.0,21004000.0,0.0,2288071000.0,0.0,0.01,0.0,0.0,7.0
1435,株式会社ｒｏｂｏｔ　ｈｏｍｅ,13760177000.0,1042585000.0,8298000.0,13157735000.0,1043974000.0,0.08,0.01,7.93,52.55
4997,日本農薬株式会社,70983493012.0,11598000000.0,207000000.0,103033000000.0,7438000000.0,0.16,0.02,7.22,0.92
9980,ＭＲＫホールディングス株式会社,8913966248.0,0.0,0.0,21152734000.0,395203000.0,0.0,0.0,1.87,8.01
9405,朝日放送グループホールディングス株式会社,28571939000.0,17354000000.0,248000000.0,91923000000.0,2591000000.0,0.61,0.01,2.82,1.63
9672,東京都競馬株式会社,143248972920.0,2258269000.0,37649000.0,40443953000.0,13926219000.0,0.02,0.02,34.43,7.72
8147,株式会社トミタ,7389600000.0,2307805000.0,156826000.0,21676665000.0,771210000.0,0.31,0.07,3.56,1.7
5199,不二ラテックス株式会社,2482364070.0,402452000.0,9012000.0,7508117000.0,439731000.0,0.16,0.02,5.86,-7.14
4008,住友精化株式会社,61053255000.0,1198000000.0,33000000.0,147571000000.0,10712000000.0,0.02,0.03,7.26,3.21
4998,フマキラー株式会社,18073040000.0,5241000000.0,130000000.0,67672000000.0,2403000000.0,0.29,0.02,3.55,9.66
7463,株式会社アドヴァン,37700159744.0,2591220000.0,41581000.0,18518822000.0,3150996000.0,0.07,0.02,17.02,-8.79
7619,田中商事株式会社,6306048000.0,83499000.0,22266000.0,41452421000.0,1220724000.0,0.01,0.27,2.94,-0.78
5288,アジアパイルホールディングス株式会社,36870152000.0,4174000000.0,118000000.0,100803000000.0,4333000000.0,0.11,0.03,4.3,-2.28
8848,株式会社レオパレス２１,225631465000.0,4827000000.0,95000000.0,422671000000.0,23313000000.0,0.02,0.02,5.52,3.99
3626,ＴＩＳ株式会社,1102499411000.0,56396000000.0,689000000.0,549004000000.0,64568000000.0,0.05,0.01,11.76,7.99
6743,大同信号株式会社,9099090000.0,6787734000.0,123883000.0,20768994000.0,1296543000.0,0.75,0.02,6.24,6.52
3181,株式会社買取王国,3308637150.0,150000000.0,0.0,7822875000.0,422066000.0,0.05,0.0,5.4,16.08
4716,日本オラクル株式会社,2138650494570.0,36000000.0,0.0,244542000000.0,79820000000.0,0.0,0.0,32.64,7.77
