Line,No,REGIST,MIC001,MIC004,CHART,MIC005,MIC006,MIC007,MIC008,MI0002,MI0001,MCE0040,MI0979,MI1070,MI0959,MI0248,備考
,1,,1381,アクシーズ,,東Ｓ,水産・農林業,食品,食肉加工,152.00,"2,706.0",0.00,3.64,鶏肉国内大手。ケンタッキー（ＫＦＣ）と食肉卸向け柱。飼料製造から加工まで一貫。外食ＦＣも,4.82,0.00,
,2,,1717,明豊ファシリティW,,東Ｓ,サービス業,建設・土木,建設コンサル・地質調査,116.89,915.0,1.00,4.20,事務所や工場、学校などの建設・移転を支援するＣＭ（コンストラクションマネジメント）主力,17.76,11.60,
,3,,1721,コムシスHLD,,東Ｐ,建設業,設備工事,通信設備工事,"4,286.59","3,223.0",5.00,3.56,キャリア向けの電気通信工事大手。ネットワーク構築に強み。インフラ工事やＩＴ構築を強化中,7.73,3.75,
,4,,1776,三井住建道路,,東Ｓ,建設業,建設・土木,道路舗装,98.43,"1,061.0",0.00,3.77,道路舗装中堅。三井住友Ｇ関連の工事が強み。官庁以外の工事拡大に注力。有利子負債ゼロ,5.05,0.00,
,5,,1925,大和ハウス工業,,東Ｐ,建設業,住宅建設,住宅建設,"30,500.90","4,625.0",4.00,3.35,賃貸住宅、商業施設、物流など事業施設の３本柱。戸建てや内外の都市開発も。配当性向３５％超,10.99,0.45,
,6,,1926,ライト工業,,東Ｐ,建設業,建設・土木,建設・土木,"1,066.89","2,205.0",5.00,3.53,東北発祥。法面・地盤改良など特殊土木に強い。技術力に定評。好財務。配当性向３５％方針,10.53,0.00,
,7,,1928,積水ハウス,,東Ｐ、名Ｐ,建設業,住宅建設,住宅建設,"23,887.77","3,603.0",6.00,3.58,ハウスメーカーの雄。戸建てから賃貸住宅、マンション等に展開。国内外で不動産開発も,11.91,0.00,
,8,,1930,北陸電気工事,,東Ｐ,建設業,設備工事,電力会社系電気設備工事,328.40,"1,096.0",0.00,3.64,電気工事会社。北陸電力の子会社。北陸電向け売上高３割強。地盤の北陸から徐々に全国展開,5.97,10.76,
,9,,1951,エクシオグループ,,東Ｐ,建設業,設備工事,通信設備工事,"3,552.88","1,703.0",2.00,3.69,ＮＴＴ工事など電気通信工事大手。インフラ工事やＩＴ関連を開拓中。海外Ｍ＆Ａにも積極的,7.12,0.00,
,10,,2002,日清製粉G本社,,東Ｐ,食料品,食品,製粉,"5,379.52","1,767.5",10.00,3.11,製粉で圧倒的トップ。食品もパスタ類強く、大手級。エンジニアリング展開、海外Ｍ＆Ａ積極化,7.79,0.00,
,11,,2130,メンバーズ,,東Ｐ,サービス業,他産業サービス・製品,人材派遣・請負,138.24,"1,030.0",1.00,3.10,専門スキル持つ人材（ＤＣ）が成果型チーム（ＤＧＴ）を組み、顧客のデジタルビジネスを支援,2.52,0.00,
,12,,2154,オープンアップG,,東Ｐ,サービス業,他産業サービス・製品,人材派遣・請負,"1,663.26","1,812.0",10.00,4.41,開発系エンジニアと建設技術者の派遣が柱。工場向け派遣、英国を中心とする海外での派遣も,15.43,0.00,
,13,,2163,アルトナー,,東Ｐ,サービス業,他産業サービス・製品,人材派遣・請負,214.47,"2,018.0",5.00,4.06,技術者派遣の古参。機械、電気・電子、ソフトの設計開発が軸。人材紹介進出。配当性向高い,27.62,―,
